X, Y, Z
0.260070, 3.368103, -20.492153
0.263290, 3.373163, -20.483709
0.272110, 3.375904, -20.459724
0.279209, 3.385905, -20.439638
0.285649, 3.379784, -20.426922
0.297529, 3.373525, -20.408003
0.304049, 3.376903, -20.386007
0.312969, 3.375423, -20.367481
0.322449, 3.364324, -20.356888
0.328209, 3.358324, -20.347586
0.328348, 3.357244, -20.320147
0.334448, 3.352883, -20.296106
0.344907, 3.349824, -20.281464
0.355127, 3.349443, -20.267370
0.363047, 3.343024, -20.248055
0.369367, 3.337224, -20.233946
0.379667, 3.333043, -20.214186
0.387386, 3.326464, -20.195267
0.390665, 3.327664, -20.168764
0.400925, 3.325324, -20.140078
0.415146, 3.324404, -20.115189
0.423766, 3.323384, -20.090153
0.435488, 3.323744, -20.071898
0.416367, 3.334143, -20.055355
0.020053, 3.315414, -1.724409
0.098856, 3.431107, -0.903426
0.105557, 3.432948, -0.889527
0.119296, 3.432048, -0.884966
0.122075, 3.424148, -0.863025
0.130354, 3.419949, -0.845427
0.132194, 3.415967, -0.826946
0.141794, 3.407387, -0.811265
0.162455, 3.405685, -0.774685
0.165335, 3.407126, -0.747964
0.168054, 3.395446, -0.724403
